#TAXONOMY,Kindom,Phylum,Class,Order,Family,Genus,Species
541135,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, 
552376,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Enterobacter, 
517548,Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Haemophilus, 
744913,Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Thiotrichaceae, Thiothrix, 
516092,Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Caloramator, 
1098473,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Propionibacteriaceae, Propionibacterium, acnes
907684,Bacteria, Firmicutes, Bacilli, Lactobacillales, Aerococcaceae, Abiotrophia, 
196482,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, , 
529349,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, 
1031733,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Propionibacteriaceae, Propionibacterium, acnes
183385,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, , 
570843,Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, Halomonas, 
423327,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, 
4433339,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, ovatus
239139,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bosea, genosp.
3599069,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Salinispora, 
287984,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, , 
1029236,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Corynebacteriaceae, Corynebacterium, 
136015,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Delftia, 
323786,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Coprococcus, 
4371222,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, 
3464844,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, mitochondria, , 
145575,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Blautia, 
4311939,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Micrococcaceae, Rothia, dentocariosa
1108638,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Actinomycetaceae, Actinomyces, 
549837,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, 
650877,Bacteria, Acidobacteria, [Chloracidobacteria], RB41, Ellin6075, , 
299576,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Corynebacteriaceae, Corynebacterium, variabile
4028105,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, [Weeksellaceae], Wautersiella, 
8281,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Moraxella, 
4407093,Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Haemophilus, 
786708,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
516239,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, , 
131660,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, delbrueckii
611039,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, 
1053898,Bacteria, Firmicutes, Clostridia, Clostridiales, [Tissierellaceae], Peptoniphilus, 
774710,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Propionibacteriaceae, , 
812921,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Paracoccus, marcusii
1143745,Bacteria, Nitrospirae, Nitrospira, Nitrospirales, 0319-6A21, , 
634117,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Microbacteriaceae, Microbacterium, chocolatum
28246,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Corynebacteriaceae, Corynebacterium, 
4344933,Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, , 
4421336,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, 
4330939,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Luteimonas, 
365181,Bacteria, Actinobacteria, Coriobacteriia, Coriobacteriales, Coriobacteriaceae, Collinsella, aerofaciens
446471,Bacteria, Firmicutes, Clostridia, Clostridiales, [Tissierellaceae], Finegoldia, 
941252,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Mycobacteriaceae, Mycobacterium, 
575486,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Paludibacter, 
529233,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
188574,Bacteria, Firmicutes, Clostridia, Clostridiales, , , 
862250,Bacteria, Planctomycetes, Phycisphaerae, WD2101, , , 
4323508,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Capnocytophaga, 
4381497,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Propionibacteriaceae, Propionibacterium, acnes
924247,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, 
4385660,Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, , 
355670,Bacteria, Proteobacteria, Alphaproteobacteria, , , , 
3385021,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, epidermidis
139279,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Micrococcaceae, , 
2362820,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Propionibacteriaceae, Propionibacterium, acnes
989579,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
214695,Bacteria, Planctomycetes, Planctomycetia, Planctomycetales, Planctomycetaceae, Planctomyces, 
4290143,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
311573,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, , , 
968363,Bacteria, Firmicutes, Clostridia, Clostridiales, [Tissierellaceae], Anaerococcus, 
1065187,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, [Weeksellaceae], Chryseobacterium, 
504492,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Corynebacteriaceae, Corynebacterium, 
956982,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, [Paraprevotellaceae], [Prevotella], 
4308811,Bacteria, Actinobacteria, Coriobacteriia, Coriobacteriales, Coriobacteriaceae, , 
2028260,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Propionibacteriaceae, Propionibacterium, acnes
73590,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Corynebacteriaceae, Corynebacterium, 
4421534,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, , 
351309,Bacteria, Firmicutes, Clostridia, Clostridiales, , , 
4340138,Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Veillonella, dispar
4475758,Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Veillonella, dispar
4475205,Bacteria, TM7, TM7-3, CW040, F16, , 
545460,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, ACK-M1, , 
1007430,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
91588,Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio, 
3966252,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Phyllobacteriaceae, , 
1039477,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, epidermidis
995373,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
366752,Bacteria, Firmicutes, Clostridia, Clostridiales, , , 
142471,Bacteria, Verrucomicrobia, Verrucomicrobiae, Verrucomicrobiales, Verrucomicrobiaceae, , 
165795,Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Pseudoalteromonadaceae, , 
880448,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Propionibacteriaceae, Propionibacterium, acnes
773399,Bacteria, Firmicutes, Bacilli, Bacillales, Listeriaceae, , 
4383166,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, , 
466445,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
359149,Bacteria, Firmicutes, Clostridia, Clostridiales, , , 
915265,Bacteria, Bacteroidetes, Cytophagia, Cytophagales, Cytophagaceae, Dyadobacter, 
4455994,Bacteria, TM7, TM7-3, , , , 
192133,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, , 
341913,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, S24-7, , 
2194880,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, , 
524724,Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, Halomonas, 
524725,Bacteria, Actinobacteria, Coriobacteriia, Coriobacteriales, Coriobacteriaceae, Atopobium, 
817433,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, ACK-M1, , 
1051317,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, 
4460179,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, 
4313650,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, , 
178616,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Dorea, 
980586,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, 
344395,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas, 
326605,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, , 
817982,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas, 
897109,Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Aggregatibacter, 
256783,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Rhodobacter, 
553768,Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, , 
3866487,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Oribacterium, 
4339348,Bacteria, Firmicutes, Clostridia, Clostridiales, Peptostreptococcaceae, Peptostreptococcus, anaerobius
1093698,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, 
3384047,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
1099914,Bacteria, Firmicutes, Clostridia, Clostridiales, [Tissierellaceae], Peptoniphilus, 
190991,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Blautia, 
809643,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, Ralstonia, 
165489,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
170481,Bacteria, Firmicutes, Bacilli, Bacillales, Alicyclobacillaceae, Alicyclobacillus, 
550057,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Propionibacteriaceae, Luteococcus, 
155521,Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Alteromonadaceae, Marinobacter, 
450389,Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, Halomonas, 
4391738,Bacteria, Firmicutes, Bacilli, Lactobacillales, Enterococcaceae, Enterococcus, 
1109623,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
253914,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, 
885012,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Nocardioidaceae, Friedmanniella, 
4476287,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, , 
572566,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, , 
248577,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Paracoccus, aminovorans
922239,Bacteria, Firmicutes, Bacilli, Gemellales, , , 
4299285,Bacteria, Planctomycetes, OM190, agg27, , , 
196802,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, , 
550587,Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, , 
1137914,Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, Chromobacterium, 
1116384,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, , 
4483037,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, , 
1053979,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Corynebacteriaceae, Corynebacterium, 
2222,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, pallens
4315958,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
101293,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, [Weeksellaceae], Chryseobacterium, 
281873,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Comamonas, 
4345285,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, 
1146530,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, Sphingobacterium, 
244196,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Beutenbergiaceae, , 
527630,Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, , 
2708478,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Cryomorphaceae, Fluviicola, 
4375664,Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Megasphaera, 
276481,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Brevibacteriaceae, Brevibacterium, aureum
623345,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Gordoniaceae, Gordonia, 
155329,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, 
1059772,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, epidermidis
155955,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Agrobacterium, 
4334055,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, 
4334052,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
270396,Bacteria, Firmicutes, Clostridia, Clostridiales, , , 
928776,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, 
9787,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
2232179,Bacteria, Acidobacteria, Solibacteres, Solibacterales, , , 
1523627,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, 
4460914,Bacteria, Fusobacteria, Fusobacteriia, Fusobacteriales, Leptotrichiaceae, Leptotrichia, 
305729,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Methylobacteriaceae, Methylobacterium, 
922058,Bacteria, Firmicutes, Clostridia, Clostridiales, [Tissierellaceae], Peptoniphilus, 
4433676,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, [Weeksellaceae], , 
4370361,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales], Chitinophagaceae, Flavihumibacter, 
795075,Bacteria, Firmicutes, Bacilli, Lactobacillales, Aerococcaceae, Aerococcus, 
111168,Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, , 
772368,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, , 
235634,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Sinobacteraceae, , 
236458,Bacteria, Verrucomicrobia, [Spartobacteria], [Chthoniobacterales], [Chthoniobacteraceae], , 
166064,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, Janthinobacterium, 
875735,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Actinomycetaceae, Actinomyces, 
534507,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Corynebacteriaceae, Corynebacterium, 
128382,Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Dialister, 
4296244,Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Veillonella, dispar
547232,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Nocardiaceae, Rhodococcus, 
174142,Bacteria, Actinobacteria, Coriobacteriia, Coriobacteriales, Coriobacteriaceae, , 
2000709,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Rhodobacter, sphaeroides
4424415,Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Methyloversatilis, 
739135,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, , , 
1005952,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
1005773,Bacteria, Firmicutes, Bacilli, Bacillales, Listeriaceae, Brochothrix, 
4447394,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Propionibacteriaceae, Propionibacterium, acnes
203031,Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Halothiobacillaceae, Halothiobacillus, 
4399495,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, 
539581,Bacteria, Firmicutes, Erysipelotrichi, Erysipelotrichales, Erysipelotrichaceae, [Eubacterium], dolichum
174740,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcus, 
2326552,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, , 
4421371,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Kaistobacter, 
4340953,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
84386,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, , 
4324368,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
1038874,Bacteria, Firmicutes, Clostridia, Clostridiales, [Tissierellaceae], Anaerococcus, 
1083037,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Moraxella, 
137881,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Kaistobacter, 
969777,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, aureus
249831,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium, 
464480,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, 
261325,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, , 
192462,Bacteria, Firmicutes, Clostridia, Clostridiales, , , 
567055,Bacteria, Cyanobacteria, Synechococcophycideae, Pseudanabaenales, Pseudanabaenaceae, , 
4324234,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, , 
754778,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
2829179,Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Acidaminococcus, 
501267,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Propionibacteriaceae, Propionibacterium, acnes
148783,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium, 
9171,Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio, 
4362795,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Agrobacterium, 
4408129,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
349263,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium, 
936750,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Corynebacteriaceae, Corynebacterium, 
931528,Bacteria, Firmicutes, Clostridia, Clostridiales, [Tissierellaceae], WAL_1855D, 
851726,Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Megasphaera, 
752354,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Coprococcus, 
254744,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Beijerinckiaceae, , 
4326635,Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, Neisseria, cinerea
918733,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Propionibacteriaceae, Propionibacterium, acnes
1131091,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Micrococcaceae, Micrococcus, 
172233,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, , 
513307,Bacteria, Proteobacteria, Deltaproteobacteria, Desulfovibrionales, Desulfovibrionaceae, Desulfovibrio, 
4441573,Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Pseudoalteromonadaceae, Pseudoalteromonas, 
132837,Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter, pylori
530164,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Porphyromonas, 
4388776,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, , 
2930734,Bacteria, Firmicutes, Bacilli, Lactobacillales, Carnobacteriaceae, Granulicatella, 
4270835,Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Pseudoalteromonadaceae, , 
176080,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, , 
939319,Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, , , 
464797,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Corynebacteriaceae, Corynebacterium, 
4446973,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Paludibacter, 
4414625,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Marinilabiaceae, , 
4432126,Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Photobacterium, 
534898,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
4362246,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, , 
772140,Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, , 
4298480,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, , 
654307,Bacteria, Firmicutes, Clostridia, Clostridiales, [Tissierellaceae], Peptoniphilus, 
1006150,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Propionibacteriaceae, Propionibacterium, acnes
1141188,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
4346863,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, 
380567,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Corynebacteriaceae, Corynebacterium, kroppenstedtii
193089,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, , 
4320462,Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, Neisseria, cinerea
2082160,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
4428164,Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, Kushneria, 
4213913,Bacteria, SR1, , , , , 
4395450,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, , 
870724,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
141709,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, , 
54330,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, 
4318284,Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Dialister, 
316587,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
132873,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, 
976991,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, , , 
285160,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, 
1141678,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, 
226450,Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, Eikenella, 
76751,Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, Neisseria, 
4374999,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Streptomycetaceae, Streptomyces, 
876949,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, 
4325011,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, , 
4472772,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium, 
48583,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Catonella, 
4350788,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Salmonella, enterica
637649,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Pseudonocardiaceae, Saccharopolyspora, 
2611121,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, marisflavi
971038,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, 
1029165,Bacteria, Firmicutes, Clostridia, Clostridiales, [Tissierellaceae], Anaerococcus, 
182089,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, , 
355533,Bacteria, Firmicutes, Clostridia, Clostridiales, , , 
533999,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Luteibacter, rhizovicinus
727009,Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, Halomonas, 
4351304,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Actinomycetaceae, Actinomyces, 
275097,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
415160,Bacteria, Firmicutes, Clostridia, Clostridiales, [Tissierellaceae], Anaerococcus, 
917351,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, aureus
4394695,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, , 
518865,Bacteria, Fusobacteria, Fusobacteriia, Fusobacteriales, Fusobacteriaceae, Fusobacterium, 
